Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,22306,-,-,India,24.65,73.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2012,1,4,4,30,0,0,0,0,0,0,6,12.952249624678643,956.7442016601562,65.29428736590125,127.60170110122856,1.3918502724274748,0.0,41.5589599609375,0.4218429923057556,0
2012,1,4,5,30,0,0,0,0,0,0,6,12.614320916672511,957.3135986328125,67.52087931154102,114.31646167452574,1.3748579471090838,0.0,45.723655700683594,0.43697598576545715,0
2012,1,4,6,30,0,0,0,0,0,0,6,12.296668262538901,957.4839477539062,69.09688407752763,101.32271815407356,1.3446513958218471,0.0,64.76317596435547,0.4801751673221588,0
2012,1,4,7,30,1,0,1,8,16,8,6,13.965223547795006,957.9852294921875,61.862990467394255,88.7657207427032,1.3029762120292174,0.0,82.02839660644531,0.5480753779411316,0
2012,1,4,8,30,99,316,171,89,375,174,4,17.471005541308557,958.6388549804688,41.77911302394007,76.88766596113616,1.2647773556708235,0.0,93.01146697998047,0.5320110321044922,0
2012,1,4,9,30,134,585,372,134,585,372,3,22.31288197330798,959.0145263671875,29.486289103951645,66.05993072871527,1.2347507996681701,0.0,203.76119995117188,0.2572665214538574,0
2012,1,4,10,30,160,695,540,160,695,540,2,25.813043978615838,958.7321166992188,21.944331330671343,56.90162610626882,1.2123386666305862,0.0,242.8249053955078,1.0952595472335815,0
2012,1,4,11,30,175,751,654,175,751,654,1,27.556808796700295,957.6295776367188,18.776990955525978,50.342662423716604,1.1994644495741313,0.0,247.0060577392578,1.726053237915039,0
2012,1,4,12,30,180,771,702,180,771,702,1,28.386477245333708,956.700439453125,17.456125968778785,47.4794101086269,1.196241692063733,0.0,251.92630004882812,2.3926820755004883,0
2012,1,4,13,30,177,761,677,177,761,677,1,28.42763727204931,955.8153076171875,17.278209869290077,48.96706566483135,1.1985059723076272,0.0,256.3560791015625,2.9303131103515625,0
